0 fail, cost: 730 ms
1 fail, cost: 625 ms
2 fail, cost: 866 ms
3 fail, cost: 1309 ms
4 fail, cost: 835 ms
5 fail, cost: 705 ms
6 fail, cost: 826 ms
7 fail, cost: 1341 ms
8 fail, cost: 1071 ms
9 fail, cost: 940 ms
10 fail, cost: 1482 ms
11 fail, cost: 809 ms
12 fail, cost: 1067 ms
13 fail, cost: 812 ms
14 fail, cost: 1723 ms
15 fail, cost: 776 ms
16 fail, cost: 767 ms
17 fail, cost: 692 ms
18 fail, cost: 1456 ms
19 fail, cost: 896 ms
20 fail, cost: 907 ms
21 fail, cost: 752 ms
22 fail, cost: 1266 ms
23 fail, cost: 659 ms
24 fail, cost: 888 ms
25 fail, cost: 845 ms
26 fail, cost: 1537 ms
27 fail, cost: 802 ms
28 fail, cost: 779 ms
29 fail, cost: 672 ms
30 fail, cost: 1661 ms
31 fail, cost: 859 ms
32 fail, cost: 908 ms
33 fail, cost: 1426 ms
34 fail, cost: 760 ms
35 fail, cost: 790 ms
36 fail, cost: 787 ms
37 fail, cost: 1661 ms
38 fail, cost: 887 ms
39 fail, cost: 758 ms
40 fail, cost: 977 ms
41 fail, cost: 1392 ms
42 fail, cost: 612 ms
43 fail, cost: 924 ms
44 fail, cost: 902 ms
45 fail, cost: 1394 ms
46 fail, cost: 804 ms
47 fail, cost: 747 ms
48 fail, cost: 864 ms
49 fail, cost: 1422 ms
50 fail, cost: 838 ms
51 fail, cost: 862 ms
52 fail, cost: 731 ms
53 fail, cost: 1232 ms
54 fail, cost: 735 ms
55 fail, cost: 544 ms
56 fail, cost: 661 ms
57 fail, cost: 1342 ms
58 fail, cost: 882 ms
59 fail, cost: 846 ms
60 fail, cost: 1010 ms
61 fail, cost: 1352 ms
62 fail, cost: 975 ms
63 fail, cost: 874 ms
64 fail, cost: 767 ms
65 fail, cost: 1330 ms
66 fail, cost: 871 ms
67 fail, cost: 782 ms
68 fail, cost: 826 ms
69 fail, cost: 1283 ms
70 fail, cost: 748 ms
71 fail, cost: 822 ms
72 fail, cost: 962 ms
73 fail, cost: 1386 ms
74 fail, cost: 901 ms
75 fail, cost: 1010 ms
76 fail, cost: 1423 ms
77 fail, cost: 797 ms
78 fail, cost: 779 ms
79 fail, cost: 633 ms
80 fail, cost: 787 ms
81 fail, cost: 1342 ms
82 fail, cost: 726 ms
83 fail, cost: 717 ms
84 fail, cost: 785 ms
85 fail, cost: 1253 ms
86 fail, cost: 705 ms
87 fail, cost: 624 ms
88 fail, cost: 894 ms
89 fail, cost: 1652 ms
90 fail, cost: 953 ms
91 fail, cost: 946 ms
92 fail, cost: 1100 ms
93 fail, cost: 1643 ms
94 fail, cost: 1066 ms
95 fail, cost: 862 ms
96 fail, cost: 1465 ms
97 fail, cost: 740 ms
98 fail, cost: 815 ms
99 fail, cost: 728 ms
100 fail, cost: 1427 ms
101 fail, cost: 729 ms
102 fail, cost: 766 ms
103 fail, cost: 601 ms
104 fail, cost: 815 ms
105 fail, cost: 1297 ms
106 fail, cost: 764 ms
107 fail, cost: 985 ms
108 fail, cost: 1042 ms
109 fail, cost: 1561 ms
110 fail, cost: 945 ms
111 fail, cost: 821 ms
112 fail, cost: 1487 ms
113 fail, cost: 934 ms
114 fail, cost: 789 ms
115 fail, cost: 892 ms
116 fail, cost: 1584 ms
117 fail, cost: 845 ms
118 fail, cost: 860 ms
119 fail, cost: 562 ms
120 fail, cost: 1407 ms
121 fail, cost: 637 ms
122 fail, cost: 624 ms
123 fail, cost: 615 ms
124 fail, cost: 618 ms
125 fail, cost: 1462 ms
126 fail, cost: 644 ms
127 fail, cost: 493 ms
128 fail, cost: 777 ms
129 fail, cost: 742 ms
130 fail, cost: 1328 ms
131 fail, cost: 715 ms
132 fail, cost: 825 ms
133 fail, cost: 896 ms
134 fail, cost: 1442 ms
135 fail, cost: 993 ms
136 fail, cost: 916 ms
137 fail, cost: 906 ms
138 fail, cost: 1588 ms
139 fail, cost: 705 ms
140 fail, cost: 944 ms
141 fail, cost: 630 ms
142 fail, cost: 1467 ms
143 fail, cost: 879 ms
144 fail, cost: 860 ms
145 fail, cost: 909 ms
146 fail, cost: 1411 ms
147 fail, cost: 628 ms
148 fail, cost: 763 ms
149 fail, cost: 786 ms
150 fail, cost: 1353 ms
151 fail, cost: 629 ms
152 fail, cost: 705 ms
153 fail, cost: 716 ms
154 fail, cost: 717 ms
155 fail, cost: 1362 ms
156 fail, cost: 856 ms
157 fail, cost: 771 ms
158 fail, cost: 751 ms
159 fail, cost: 1224 ms
160 fail, cost: 848 ms
161 fail, cost: 757 ms
162 fail, cost: 735 ms
163 fail, cost: 1421 ms
164 fail, cost: 1032 ms
165 fail, cost: 1029 ms
166 fail, cost: 954 ms
167 fail, cost: 1624 ms
168 fail, cost: 885 ms
169 fail, cost: 823 ms
170 fail, cost: 788 ms
171 fail, cost: 1395 ms
172 fail, cost: 922 ms
173 fail, cost: 869 ms
174 fail, cost: 858 ms
175 fail, cost: 1355 ms
176 fail, cost: 870 ms
177 fail, cost: 871 ms
178 fail, cost: 810 ms
179 fail, cost: 1209 ms
180 fail, cost: 956 ms
181 fail, cost: 695 ms
182 fail, cost: 622 ms
183 fail, cost: 1237 ms
184 fail, cost: 772 ms
185 fail, cost: 685 ms
186 fail, cost: 743 ms
187 fail, cost: 533 ms
188 fail, cost: 1400 ms
189 fail, cost: 630 ms
190 fail, cost: 519 ms
191 fail, cost: 548 ms
192 fail, cost: 1397 ms
193 fail, cost: 706 ms
194 fail, cost: 715 ms
195 fail, cost: 622 ms
196 fail, cost: 759 ms
197 fail, cost: 1273 ms
198 fail, cost: 672 ms
199 fail, cost: 668 ms
200 fail, cost: 883 ms
201 fail, cost: 1472 ms
202 fail, cost: 816 ms
203 fail, cost: 958 ms
204 fail, cost: 928 ms
205 fail, cost: 1445 ms
206 fail, cost: 910 ms
207 fail, cost: 796 ms
208 fail, cost: 904 ms
209 fail, cost: 1569 ms
210 fail, cost: 857 ms
211 fail, cost: 965 ms
212 fail, cost: 908 ms
213 fail, cost: 1387 ms
214 fail, cost: 783 ms
215 fail, cost: 727 ms
216 fail, cost: 1555 ms
217 fail, cost: 810 ms
218 fail, cost: 916 ms
219 fail, cost: 745 ms
220 fail, cost: 1590 ms
221 fail, cost: 620 ms
222 fail, cost: 604 ms
223 fail, cost: 606 ms
224 fail, cost: 779 ms
225 fail, cost: 1207 ms
226 fail, cost: 702 ms
227 fail, cost: 631 ms
228 fail, cost: 676 ms
229 fail, cost: 1211 ms
230 fail, cost: 761 ms
231 fail, cost: 594 ms
232 fail, cost: 634 ms
233 fail, cost: 596 ms
234 fail, cost: 1250 ms
235 fail, cost: 545 ms
236 fail, cost: 745 ms
237 fail, cost: 580 ms
238 fail, cost: 545 ms
239 fail, cost: 1117 ms
240 fail, cost: 704 ms
241 fail, cost: 656 ms
242 fail, cost: 535 ms
243 fail, cost: 552 ms
244 fail, cost: 1195 ms
245 fail, cost: 532 ms
246 fail, cost: 490 ms
247 fail, cost: 569 ms
248 fail, cost: 727 ms
249 fail, cost: 1279 ms
250 fail, cost: 793 ms
251 fail, cost: 804 ms
252 fail, cost: 852 ms
253 fail, cost: 1254 ms
254 fail, cost: 862 ms
255 fail, cost: 699 ms
